prompt,group_name,path,Prompt,subset,Challenge,Note
7_dogs_sitting_around_a_poker_table,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/7_dogs_sitting_around_a_poker_table/CompVis/stable-diffusion-v1-4/49.png,7 dogs sitting around a poker table,Animals,Quantity,"Description of ""Dogs Playing Poker"""
7_dogs_sitting_around_a_poker_table,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/7_dogs_sitting_around_a_poker_table/runwayml/stable-diffusion-v1-5/0.png,7 dogs sitting around a poker table,Animals,Quantity,"Description of ""Dogs Playing Poker"""
7_dogs_sitting_around_a_poker_table,stabilityai/stable-diffusion-2,./data/txt2img_parti/7_dogs_sitting_around_a_poker_table/stabilityai/stable-diffusion-2/0.png,7 dogs sitting around a poker table,Animals,Quantity,"Description of ""Dogs Playing Poker"""
7_dogs_sitting_around_a_poker_table,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/7_dogs_sitting_around_a_poker_table/stabilityai/stable-diffusion-2-1/49.png,7 dogs sitting around a poker table,Animals,Quantity,"Description of ""Dogs Playing Poker"""
"7_dogs_sitting_around_a_poker_table,_two_of_which_are_turning_away",CompVis/stable-diffusion-v1-4,"./data/txt2img_parti/7_dogs_sitting_around_a_poker_table,_two_of_which_are_turning_away/CompVis/stable-diffusion-v1-4/7.png","7 dogs sitting around a poker table, two of which are turning away",,,
"7_dogs_sitting_around_a_poker_table,_two_of_which_are_turning_away",runwayml/stable-diffusion-v1-5,"./data/txt2img_parti/7_dogs_sitting_around_a_poker_table,_two_of_which_are_turning_away/runwayml/stable-diffusion-v1-5/12.png","7 dogs sitting around a poker table, two of which are turning away",,,
"7_dogs_sitting_around_a_poker_table,_two_of_which_are_turning_away",stabilityai/stable-diffusion-2,"./data/txt2img_parti/7_dogs_sitting_around_a_poker_table,_two_of_which_are_turning_away/stabilityai/stable-diffusion-2/0.png","7 dogs sitting around a poker table, two of which are turning away",,,
"7_dogs_sitting_around_a_poker_table,_two_of_which_are_turning_away",stabilityai/stable-diffusion-2-1,"./data/txt2img_parti/7_dogs_sitting_around_a_poker_table,_two_of_which_are_turning_away/stabilityai/stable-diffusion-2-1/9.png","7 dogs sitting around a poker table, two of which are turning away",,,
A_Big_Ben_clock_towering_over_the_city_of_London,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_Big_Ben_clock_towering_over_the_city_of_London/CompVis/stable-diffusion-v1-4/24.png,A Big Ben clock towering over the city of London,World Knowledge,Fine-grained Detail,CogView
A_Big_Ben_clock_towering_over_the_city_of_London,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_Big_Ben_clock_towering_over_the_city_of_London/runwayml/stable-diffusion-v1-5/8.png,A Big Ben clock towering over the city of London,World Knowledge,Fine-grained Detail,CogView
A_Big_Ben_clock_towering_over_the_city_of_London,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_Big_Ben_clock_towering_over_the_city_of_London/stabilityai/stable-diffusion-2/1.png,A Big Ben clock towering over the city of London,World Knowledge,Fine-grained Detail,CogView
A_Big_Ben_clock_towering_over_the_city_of_London,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_Big_Ben_clock_towering_over_the_city_of_London/stabilityai/stable-diffusion-2-1/7.png,A Big Ben clock towering over the city of London,World Knowledge,Fine-grained Detail,CogView
A_DSLR_photo_of_a_shiny_VW_van_that_has_a_cityscape_painted_on_it_A_smiling_sloth_stands_on_grass_in,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_DSLR_photo_of_a_shiny_VW_van_that_has_a_cityscape_painted_on_it_A_smiling_sloth_stands_on_grass_in/CompVis/stable-diffusion-v1-4/16.png,A DSLR photo of a shiny VW van that has a cityscape painted on it A smiling sloth stands on grass in,,,
A_DSLR_photo_of_a_shiny_VW_van_that_has_a_cityscape_painted_on_it_A_smiling_sloth_stands_on_grass_in,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_DSLR_photo_of_a_shiny_VW_van_that_has_a_cityscape_painted_on_it_A_smiling_sloth_stands_on_grass_in/runwayml/stable-diffusion-v1-5/35.png,A DSLR photo of a shiny VW van that has a cityscape painted on it A smiling sloth stands on grass in,,,
A_DSLR_photo_of_a_shiny_VW_van_that_has_a_cityscape_painted_on_it_A_smiling_sloth_stands_on_grass_in,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_DSLR_photo_of_a_shiny_VW_van_that_has_a_cityscape_painted_on_it_A_smiling_sloth_stands_on_grass_in/stabilityai/stable-diffusion-2-1/24.png,A DSLR photo of a shiny VW van that has a cityscape painted on it A smiling sloth stands on grass in,,,
"A_DSLR_photo_of_a_shiny_VW_van_that_has_a_cityscape_painted_on_it_A_smiling_sloth_stands_on_grass_in_front_of_the_van_and_is_wearing_a_leather_jacket,_a_cowboy_hat,_a_kilt_and_a_bowtie_The_sloth_is_holding_a_quarterstaff_and_a_big_book",stabilityai/stable-diffusion-2,"./data/txt2img_parti/A_DSLR_photo_of_a_shiny_VW_van_that_has_a_cityscape_painted_on_it_A_smiling_sloth_stands_on_grass_in_front_of_the_van_and_is_wearing_a_leather_jacket,_a_cowboy_hat,_a_kilt_and_a_bowtie_The_sloth_is_holding_a_quarterstaff_and_a_big_book/stabilityai/stable-diffusion-2/28.png","A DSLR photo of a shiny VW van that has a cityscape painted on it A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie The sloth is holding a quarterstaff and a big book",,,
A_Google_map_highlighting_Vietnam,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_Google_map_highlighting_Vietnam/CompVis/stable-diffusion-v1-4/41.png,A Google map highlighting Vietnam,World Knowledge,Simple Detail,
A_Google_map_highlighting_Vietnam,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_Google_map_highlighting_Vietnam/runwayml/stable-diffusion-v1-5/8.png,A Google map highlighting Vietnam,World Knowledge,Simple Detail,
A_Google_map_highlighting_Vietnam,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_Google_map_highlighting_Vietnam/stabilityai/stable-diffusion-2/12.png,A Google map highlighting Vietnam,World Knowledge,Simple Detail,
A_Google_map_highlighting_Vietnam,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_Google_map_highlighting_Vietnam/stabilityai/stable-diffusion-2-1/6.png,A Google map highlighting Vietnam,World Knowledge,Simple Detail,
A_Mesoamerican_pyramid_surrounded_by_jungle_detailed_charcoal_sketch,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_Mesoamerican_pyramid_surrounded_by_jungle_detailed_charcoal_sketch/CompVis/stable-diffusion-v1-4/42.png,A Mesoamerican pyramid surrounded by jungle detailed charcoal sketch,,,
A_Mesoamerican_pyramid_surrounded_by_jungle_detailed_charcoal_sketch,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_Mesoamerican_pyramid_surrounded_by_jungle_detailed_charcoal_sketch/runwayml/stable-diffusion-v1-5/47.png,A Mesoamerican pyramid surrounded by jungle detailed charcoal sketch,,,
A_Mesoamerican_pyramid_surrounded_by_jungle_detailed_charcoal_sketch,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_Mesoamerican_pyramid_surrounded_by_jungle_detailed_charcoal_sketch/stabilityai/stable-diffusion-2/27.png,A Mesoamerican pyramid surrounded by jungle detailed charcoal sketch,,,
A_Mesoamerican_pyramid_surrounded_by_jungle_detailed_charcoal_sketch,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_Mesoamerican_pyramid_surrounded_by_jungle_detailed_charcoal_sketch/stabilityai/stable-diffusion-2-1/0.png,A Mesoamerican pyramid surrounded by jungle detailed charcoal sketch,,,
A_Vietnam_map,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_Vietnam_map/CompVis/stable-diffusion-v1-4/8.png,A Vietnam map,World Knowledge,Basic,
A_Vietnam_map,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_Vietnam_map/runwayml/stable-diffusion-v1-5/27.png,A Vietnam map,World Knowledge,Basic,
A_Vietnam_map,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_Vietnam_map/stabilityai/stable-diffusion-2/22.png,A Vietnam map,World Knowledge,Basic,
A_Vietnam_map,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_Vietnam_map/stabilityai/stable-diffusion-2-1/26.png,A Vietnam map,World Knowledge,Basic,
A_Vietnam_map_showing_Ha_Long_Bay,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_Vietnam_map_showing_Ha_Long_Bay/CompVis/stable-diffusion-v1-4/34.png,A Vietnam map showing Ha Long Bay,World Knowledge,Fine-grained Detail,
A_Vietnam_map_showing_Ha_Long_Bay,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_Vietnam_map_showing_Ha_Long_Bay/runwayml/stable-diffusion-v1-5/44.png,A Vietnam map showing Ha Long Bay,World Knowledge,Fine-grained Detail,
A_Vietnam_map_showing_Ha_Long_Bay,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_Vietnam_map_showing_Ha_Long_Bay/stabilityai/stable-diffusion-2/33.png,A Vietnam map showing Ha Long Bay,World Knowledge,Fine-grained Detail,
A_Vietnam_map_showing_Ha_Long_Bay,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_Vietnam_map_showing_Ha_Long_Bay/stabilityai/stable-diffusion-2-1/1.png,A Vietnam map showing Ha Long Bay,World Knowledge,Fine-grained Detail,
"A_bar_of_chocolate_without_a_wrapper_that_has_the_word_""WRAPPER""_printed_on_it",CompVis/stable-diffusion-v1-4,"./data/txt2img_parti/A_bar_of_chocolate_without_a_wrapper_that_has_the_word_""WRAPPER""_printed_on_it/CompVis/stable-diffusion-v1-4/42.png","A bar of chocolate without a wrapper that has the word ""WRAPPER"" printed on it",,,
"A_bar_of_chocolate_without_a_wrapper_that_has_the_word_""WRAPPER""_printed_on_it",runwayml/stable-diffusion-v1-5,"./data/txt2img_parti/A_bar_of_chocolate_without_a_wrapper_that_has_the_word_""WRAPPER""_printed_on_it/runwayml/stable-diffusion-v1-5/28.png","A bar of chocolate without a wrapper that has the word ""WRAPPER"" printed on it",,,
"A_bar_of_chocolate_without_a_wrapper_that_has_the_word_""WRAPPER""_printed_on_it",stabilityai/stable-diffusion-2,"./data/txt2img_parti/A_bar_of_chocolate_without_a_wrapper_that_has_the_word_""WRAPPER""_printed_on_it/stabilityai/stable-diffusion-2/20.png","A bar of chocolate without a wrapper that has the word ""WRAPPER"" printed on it",,,
"A_bar_of_chocolate_without_a_wrapper_that_has_the_word_""WRAPPER""_printed_on_it",stabilityai/stable-diffusion-2-1,"./data/txt2img_parti/A_bar_of_chocolate_without_a_wrapper_that_has_the_word_""WRAPPER""_printed_on_it/stabilityai/stable-diffusion-2-1/18.png","A bar of chocolate without a wrapper that has the word ""WRAPPER"" printed on it",,,
A_bare_kitchen_has_wood_cabinets_and_white_appliances,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_bare_kitchen_has_wood_cabinets_and_white_appliances/CompVis/stable-diffusion-v1-4/34.png,A bare kitchen has wood cabinets and white appliances,Indoor Scenes,Fine-grained Detail,VQ-Diffusion
A_bare_kitchen_has_wood_cabinets_and_white_appliances,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_bare_kitchen_has_wood_cabinets_and_white_appliances/runwayml/stable-diffusion-v1-5/31.png,A bare kitchen has wood cabinets and white appliances,Indoor Scenes,Fine-grained Detail,VQ-Diffusion
A_bare_kitchen_has_wood_cabinets_and_white_appliances,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_bare_kitchen_has_wood_cabinets_and_white_appliances/stabilityai/stable-diffusion-2/18.png,A bare kitchen has wood cabinets and white appliances,Indoor Scenes,Fine-grained Detail,VQ-Diffusion
A_bare_kitchen_has_wood_cabinets_and_white_appliances,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_bare_kitchen_has_wood_cabinets_and_white_appliances/stabilityai/stable-diffusion-2-1/14.png,A bare kitchen has wood cabinets and white appliances,Indoor Scenes,Fine-grained Detail,VQ-Diffusion
A_bird_gives_an_apple_to_a_squirrel,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_bird_gives_an_apple_to_a_squirrel/CompVis/stable-diffusion-v1-4/40.png,A bird gives an apple to a squirrel,Animals,Linguistic Structures,Ditransitive verbs
A_bird_gives_an_apple_to_a_squirrel,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_bird_gives_an_apple_to_a_squirrel/runwayml/stable-diffusion-v1-5/41.png,A bird gives an apple to a squirrel,Animals,Linguistic Structures,Ditransitive verbs
A_bird_gives_an_apple_to_a_squirrel,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_bird_gives_an_apple_to_a_squirrel/stabilityai/stable-diffusion-2/35.png,A bird gives an apple to a squirrel,Animals,Linguistic Structures,Ditransitive verbs
A_bird_gives_an_apple_to_a_squirrel,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_bird_gives_an_apple_to_a_squirrel/stabilityai/stable-diffusion-2-1/45.png,A bird gives an apple to a squirrel,Animals,Linguistic Structures,Ditransitive verbs
A_black_and_white_landscape_photograph_of_a_black_tree,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_black_and_white_landscape_photograph_of_a_black_tree/CompVis/stable-diffusion-v1-4/22.png,A black and white landscape photograph of a black tree,Outdoor Scenes,Fine-grained Detail,VQ-Diffusion
A_black_and_white_landscape_photograph_of_a_black_tree,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_black_and_white_landscape_photograph_of_a_black_tree/runwayml/stable-diffusion-v1-5/17.png,A black and white landscape photograph of a black tree,Outdoor Scenes,Fine-grained Detail,VQ-Diffusion
A_black_and_white_landscape_photograph_of_a_black_tree,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_black_and_white_landscape_photograph_of_a_black_tree/stabilityai/stable-diffusion-2/31.png,A black and white landscape photograph of a black tree,Outdoor Scenes,Fine-grained Detail,VQ-Diffusion
A_black_and_white_landscape_photograph_of_a_black_tree,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_black_and_white_landscape_photograph_of_a_black_tree/stabilityai/stable-diffusion-2-1/2.png,A black and white landscape photograph of a black tree,Outdoor Scenes,Fine-grained Detail,VQ-Diffusion
A_black_dog_sitting_on_a_wooden_chair_A_white_cat_with_black_ears_is_standing_up_with_its_paws_on_th,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_black_dog_sitting_on_a_wooden_chair_A_white_cat_with_black_ears_is_standing_up_with_its_paws_on_th/CompVis/stable-diffusion-v1-4/27.png,A black dog sitting on a wooden chair A white cat with black ears is standing up with its paws on th,,,
A_black_dog_sitting_on_a_wooden_chair_A_white_cat_with_black_ears_is_standing_up_with_its_paws_on_th,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_black_dog_sitting_on_a_wooden_chair_A_white_cat_with_black_ears_is_standing_up_with_its_paws_on_th/runwayml/stable-diffusion-v1-5/26.png,A black dog sitting on a wooden chair A white cat with black ears is standing up with its paws on th,,,
A_black_dog_sitting_on_a_wooden_chair_A_white_cat_with_black_ears_is_standing_up_with_its_paws_on_th,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_black_dog_sitting_on_a_wooden_chair_A_white_cat_with_black_ears_is_standing_up_with_its_paws_on_th/stabilityai/stable-diffusion-2/26.png,A black dog sitting on a wooden chair A white cat with black ears is standing up with its paws on th,,,
A_black_dog_sitting_on_a_wooden_chair_A_white_cat_with_black_ears_is_standing_up_with_its_paws_on_th,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_black_dog_sitting_on_a_wooden_chair_A_white_cat_with_black_ears_is_standing_up_with_its_paws_on_th/stabilityai/stable-diffusion-2-1/4.png,A black dog sitting on a wooden chair A white cat with black ears is standing up with its paws on th,,,
A_black_dragon_perched_on_top_of_a_tall_Egyptian_obelisk_and_breathing_flames_at_a_knight_on_the_gro,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_black_dragon_perched_on_top_of_a_tall_Egyptian_obelisk_and_breathing_flames_at_a_knight_on_the_gro/CompVis/stable-diffusion-v1-4/37.png,A black dragon perched on top of a tall Egyptian obelisk and breathing flames at a knight on the gro,,,
A_black_dragon_perched_on_top_of_a_tall_Egyptian_obelisk_and_breathing_flames_at_a_knight_on_the_gro,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_black_dragon_perched_on_top_of_a_tall_Egyptian_obelisk_and_breathing_flames_at_a_knight_on_the_gro/runwayml/stable-diffusion-v1-5/20.png,A black dragon perched on top of a tall Egyptian obelisk and breathing flames at a knight on the gro,,,
A_black_dragon_perched_on_top_of_a_tall_Egyptian_obelisk_and_breathing_flames_at_a_knight_on_the_gro,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_black_dragon_perched_on_top_of_a_tall_Egyptian_obelisk_and_breathing_flames_at_a_knight_on_the_gro/stabilityai/stable-diffusion-2/9.png,A black dragon perched on top of a tall Egyptian obelisk and breathing flames at a knight on the gro,,,
A_black_dragon_perched_on_top_of_a_tall_Egyptian_obelisk_and_breathing_flames_at_a_knight_on_the_gro,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_black_dragon_perched_on_top_of_a_tall_Egyptian_obelisk_and_breathing_flames_at_a_knight_on_the_gro/stabilityai/stable-diffusion-2-1/15.png,A black dragon perched on top of a tall Egyptian obelisk and breathing flames at a knight on the gro,,,
A_blue_Porsche_356_parked_in_front_of_a_yellow_brick_wall,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_blue_Porsche_356_parked_in_front_of_a_yellow_brick_wall/CompVis/stable-diffusion-v1-4/27.png,A blue Porsche 356 parked in front of a yellow brick wall,World Knowledge,Fine-grained Detail,
A_blue_Porsche_356_parked_in_front_of_a_yellow_brick_wall,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_blue_Porsche_356_parked_in_front_of_a_yellow_brick_wall/runwayml/stable-diffusion-v1-5/19.png,A blue Porsche 356 parked in front of a yellow brick wall,World Knowledge,Fine-grained Detail,
A_blue_Porsche_356_parked_in_front_of_a_yellow_brick_wall,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_blue_Porsche_356_parked_in_front_of_a_yellow_brick_wall/stabilityai/stable-diffusion-2/47.png,A blue Porsche 356 parked in front of a yellow brick wall,World Knowledge,Fine-grained Detail,
A_blue_Porsche_356_parked_in_front_of_a_yellow_brick_wall,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_blue_Porsche_356_parked_in_front_of_a_yellow_brick_wall/stabilityai/stable-diffusion-2-1/9.png,A blue Porsche 356 parked in front of a yellow brick wall,World Knowledge,Fine-grained Detail,
A_bowl_of_Beef_Pho,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_bowl_of_Beef_Pho/CompVis/stable-diffusion-v1-4/26.png,A bowl of Beef Pho,Food & Beverage,Simple Detail,
A_bowl_of_Beef_Pho,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_bowl_of_Beef_Pho/runwayml/stable-diffusion-v1-5/10.png,A bowl of Beef Pho,Food & Beverage,Simple Detail,
A_bowl_of_Beef_Pho,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_bowl_of_Beef_Pho/stabilityai/stable-diffusion-2/9.png,A bowl of Beef Pho,Food & Beverage,Simple Detail,
A_bowl_of_Beef_Pho,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_bowl_of_Beef_Pho/stabilityai/stable-diffusion-2-1/2.png,A bowl of Beef Pho,Food & Beverage,Simple Detail,
A_bowl_of_Chicken_Pho,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_bowl_of_Chicken_Pho/CompVis/stable-diffusion-v1-4/20.png,A bowl of Chicken Pho,Food & Beverage,Simple Detail,
A_bowl_of_Chicken_Pho,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_bowl_of_Chicken_Pho/runwayml/stable-diffusion-v1-5/34.png,A bowl of Chicken Pho,Food & Beverage,Simple Detail,
A_bowl_of_Chicken_Pho,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_bowl_of_Chicken_Pho/stabilityai/stable-diffusion-2/1.png,A bowl of Chicken Pho,Food & Beverage,Simple Detail,
A_bowl_of_Chicken_Pho,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_bowl_of_Chicken_Pho/stabilityai/stable-diffusion-2-1/12.png,A bowl of Chicken Pho,Food & Beverage,Simple Detail,
A_bowl_of_Pho,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_bowl_of_Pho/CompVis/stable-diffusion-v1-4/41.png,A bowl of Pho,Food & Beverage,Basic,
A_bowl_of_Pho,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_bowl_of_Pho/runwayml/stable-diffusion-v1-5/36.png,A bowl of Pho,Food & Beverage,Basic,
A_bowl_of_Pho,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_bowl_of_Pho/stabilityai/stable-diffusion-2/16.png,A bowl of Pho,Food & Beverage,Basic,
A_bowl_of_Pho,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_bowl_of_Pho/stabilityai/stable-diffusion-2-1/43.png,A bowl of Pho,Food & Beverage,Basic,
A_bowl_of_Pho_served_with_bean_sprouts_on_top,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_bowl_of_Pho_served_with_bean_sprouts_on_top/CompVis/stable-diffusion-v1-4/47.png,A bowl of Pho served with bean sprouts on top,Food & Beverage,Fine-grained Detail,
A_bowl_of_Pho_served_with_bean_sprouts_on_top,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_bowl_of_Pho_served_with_bean_sprouts_on_top/runwayml/stable-diffusion-v1-5/35.png,A bowl of Pho served with bean sprouts on top,Food & Beverage,Fine-grained Detail,
A_bowl_of_Pho_served_with_bean_sprouts_on_top,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_bowl_of_Pho_served_with_bean_sprouts_on_top/stabilityai/stable-diffusion-2/37.png,A bowl of Pho served with bean sprouts on top,Food & Beverage,Fine-grained Detail,
A_bowl_of_Pho_served_with_bean_sprouts_on_top,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_bowl_of_Pho_served_with_bean_sprouts_on_top/stabilityai/stable-diffusion-2-1/21.png,A bowl of Pho served with bean sprouts on top,Food & Beverage,Fine-grained Detail,
A_bowl_of_soup_that_looks_like_a_monster_knitted_out_of_wool,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_bowl_of_soup_that_looks_like_a_monster_knitted_out_of_wool/CompVis/stable-diffusion-v1-4/14.png,A bowl of soup that looks like a monster knitted out of wool,Food & Beverage,Imagination,
A_bowl_of_soup_that_looks_like_a_monster_knitted_out_of_wool,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_bowl_of_soup_that_looks_like_a_monster_knitted_out_of_wool/runwayml/stable-diffusion-v1-5/28.png,A bowl of soup that looks like a monster knitted out of wool,Food & Beverage,Imagination,
A_bowl_of_soup_that_looks_like_a_monster_knitted_out_of_wool,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_bowl_of_soup_that_looks_like_a_monster_knitted_out_of_wool/stabilityai/stable-diffusion-2/47.png,A bowl of soup that looks like a monster knitted out of wool,Food & Beverage,Imagination,
A_bowl_of_soup_that_looks_like_a_monster_knitted_out_of_wool,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/A_bowl_of_soup_that_looks_like_a_monster_knitted_out_of_wool/stabilityai/stable-diffusion-2-1/37.png,A bowl of soup that looks like a monster knitted out of wool,Food & Beverage,Imagination,
A_bowl_of_soup_that_looks_like_a_monster_made_out_of_plasticine,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/A_bowl_of_soup_that_looks_like_a_monster_made_out_of_plasticine/CompVis/stable-diffusion-v1-4/43.png,A bowl of soup that looks like a monster made out of plasticine,Food & Beverage,Imagination,
A_bowl_of_soup_that_looks_like_a_monster_made_out_of_plasticine,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/A_bowl_of_soup_that_looks_like_a_monster_made_out_of_plasticine/runwayml/stable-diffusion-v1-5/6.png,A bowl of soup that looks like a monster made out of plasticine,Food & Beverage,Imagination,
A_bowl_of_soup_that_looks_like_a_monster_made_out_of_plasticine,stabilityai/stable-diffusion-2,./data/txt2img_parti/A_bowl_of_soup_that_looks_like_a_monster_made_out_of_plasticine/stabilityai/stable-diffusion-2/22.png,A bowl of soup that looks like a monster made out of plasticine,Food & Beverage,Imagination,
